RE_Identity	Normalized	FOLD	condensed
7SpS	1.07272727272727	-0.295822229544068	7SpS
7hBh	1.2125	-0.119120818081485	7hh
pBBp	0.392961876832845	-1.74464430394765	pp
77SB	1.06603023070803	-0.304857214456623	77S
BBSh	0.982608695652174	-0.422416653910438	Sh
SB7S	1.20939086294416	-0.122824980927684	S7S
SBp7	0.458083832335329	-1.52342201516265	Sp7
BpSS	1.12981298129813	-0.221021583257162	pSS
pS77	0.0921052631578947	-3.83767815676723	pS77
SS7p	1.04485049833887	-0.333809035261663	SS7p
Bh7B	1.70149253731343	0.369695258325719	h7
hhpS	1.48695054945055	0.175251104034141	hhpS
BSSp	0.937614678899083	-0.490038504107917	SSp
hhp7	1.43453070683662	0.123473284654059	hhp7
S7BB	0.0730897009966777	-4.17129362350365	S7
h7SB	0.477379095163807	-1.46389826930734	h7S
S7p7	1.34358974358974	0.0289871224065894	S7p7
SBBh	0.950389105058366	-0.470515362606743	Sh
7h77	0.126182965299685	-3.3835165006333	7h77
Bph7	0.422900763358779	-1.63871449575687	ph7
77SS	0.571111111111111	-1.20526220740441	77SS
Bhp7	1.02848101265823	-0.356590405642536	hp7
hBhh	0.620608899297424	-1.08534927555118	hhh
7phh	0.419331911869225	-1.65094103436858	7phh
pppp	1.10047846889952	-0.258974646517758	pppp
Sh7B	0.441441441441441	-1.57681158761615	Sh7
7SB7	1.21161825726141	-0.120170342731195	7S7
BSp7	2.1	0.673283762510148	Sp7
Control	0.751711263223398	-0.808855039731265	Control
7h7S	0.798353909465021	-0.722005226799903	7h7S
7BBh	0.715659340659341	-0.879760643301438	7h
p7Sp	0.82313681868743	-0.677901410379385	p7Sp
hpSB	0.883299798792757	-0.576130477408178	hpS
7pS7	0.379421221864952	-1.79523328615001	7pS7
7SS7	0.790874524714829	-0.73558483653246	7SS7
BSBp	0.414507772020725	-1.66763450776197	Sp
ppSB	1.03738317757009	-0.344156685432291	ppS
7pS7	0.380952380952381	-1.78942298816001	7pS7
phS7	1.53164556962025	0.217976923716241	phS7
HMGA2	0.472584856396867	-1.478460260223	HMGA2
p7hh	0.869565217391304	-0.598739426550901	p7hh
7BSS	0.579710144927536	-1.18370192727206	7SS
Bh7S	0.585227272727273	-1.17003665683533	h7S
hpSS	0.6875	-0.937673946743953	hpSS
BB7h	0.618803418803419	-1.08955249276881	7h
h7hS	0.896551724137931	-0.55464684236773	h7hS
7hBh	0.481927710843373	-1.45021690184081	7hh
hBp7	1.0462962962963	-0.331814105129531	hp7
hhBp	1.36566785170137	0.0525010785900694	hhp
hSpp	0.774611398963731	-0.765560928451225	hSpp
hSpB	0.644957983193277	-1.02982848331901	hSp
h7hS	0.866746698679472	-0.603423223859627	h7hS
S7pp	1.39540816326531	0.0835816132960982	S7pp
SpBh	0.564293304994687	-1.22258842730563	Sph
Control	1.66285278413425	0.336554884061284	Control
Shpp	1.16639871382637	-0.175044531445108	Shpp
SBph	0.441534144059869	-1.5765086537399	Sph
77Bp	0.213917525773196	-2.62197897622145	77p
pBBp	0.679775280898876	-0.953975759073053	pp
7B7h	0.617647058823529	-1.09225098385283	77h
7hBp	1.18227848101266	-0.155535668736053	7hp
hhBB	1.34210526315789	0.0273922631466601	hh
BBpp	1.02302631578947	-0.364262308694233	pp
hphh	0.180285343709468	-2.86875154257278	hphh
C14orf28	1.21008403361345	-0.121998327246881	C14orf28
7SBh	0.453963170536429	-1.53645840204698	7Sh
S7h7	0.537931034482759	-1.29161243653394	S7h7
hBS7	0.759310344827586	-0.794343996719178	hS7
BBpp	0.31875	-2.04660831829712	pp
7hSh	1.08236658932715	-0.282916353618589	7hSh
pSpp	2.85714285714286	1.11746760744851	pSpp
pSSh	0.918941979522184	-0.51905988525929	pSSh
