RE_Identity	Normalized	FOLD	condensed
7SpS	0.388007054673721	-2.05461691365748	7SpS
7hBh	0.368946963873943	-2.12728635334919	7hh
pBBp	0.4760907504363	-1.75946319686001	pp
77SB	0.742468989958653	-1.11836902571504	77S
BBSh	0.519522426589222	-1.63351376882415	Sh
SB7S	0.499524564183835	-1.69014417265345	S7S
SBp7	0.638623326959847	-1.3357345460128	Sp7
BpSS	0.86736641221374	-0.894058219583254	pSS
pS77	0.345454545454545	-2.22220390232098	pS77
SS7p	0.683314415437003	-1.23815023440062	SS7p
Bh7B	0.291123525760397	-2.4690683684311	h7
hhpS	1.85911896148117	0.205847386278826	hhpS
BSSp	1.29453681710214	-0.316335705642018	SSp
hhp7	0.94471811713191	-0.770815871688445	hhp7
S7BB	0.962430055955236	-0.744018099646029	S7
h7SB	0.318905472636816	-2.33757094168746	h7S
S7p7	0.414452709883103	-1.95949230121884	S7p7
SBBh	0.552242814934193	-1.54539705389755	Sh
7h77	0.437543133195307	-1.88127455165743	7h77
Bph7	0.401102265768524	-2.00672968137679	ph7
77SS	0.368701351904957	-2.12824709080403	77SS
Bhp7	0.536502546689304	-1.58711477789327	hp7
hBhh	0.391473756589503	-2.04178420099592	hhh
7phh	0.325205131168381	-2.30934977632941	7phh
pppp	0.180952380952381	-3.15508970646245	pppp
Sh7B	0.490316004077472	-1.71698794468911	Sh7
7SB7	0.270179372197309	-2.57678226593025	7S7
BSp7	0.126382306477093	-3.67290529678089	Sp7
Control	1.44384546271339	-0.158855365906777	Control
7h7S	0.201409034397016	-3.00057139884988	7h7S
7BBh	0.505380076362374	-1.67333100720109	7h
p7Sp	0.319815012451085	-2.33346213510581	p7Sp
hpSB	0.404065040650406	-1.99611226090423	hpS
7pS7	0.606237816764133	-1.41081594771636	7pS7
7SS7	0.550785340314136	-1.54920963587072	7SS7
BSBp	1.72065378900446	0.0941851411390084	Sp
ppSB	0.325846973734298	-2.3065052009724	ppS
7pS7	0.301210219632452	-2.41992907770529	7pS7
phS7	0.299810246679317	-2.42665010570002	phS7
HMGA2	0.414951245937161	-1.95775795796073	HMGA2
p7hh	0.534365924491772	-1.5928717843268	p7hh
7BSS	0.657142857142857	-1.29449276312786	7SS
Bh7S	0.729911871435977	-1.14297751165172	h7S
hpSS	0.614645858343337	-1.39094438760546	hpSS
BB7h	0.461720599842147	-1.80367969690995	7h
h7hS	2.52651515151515	0.64837712958622	h7hS
pp7p	0.224137931034483	-2.84631297922639	pp7p
7hBh	0.455418381344307	-1.82350727521992	7hh
hBp7	0.530061349693252	-1.60454044919488	hp7
hhBp	5.17477003942181	1.6827230501581	hhp
hSpp	0.662092624356775	-1.28366673817233	hSpp
7BB7	0.141176470588235	-3.51320013765646	77
hSpB	0.899810964083176	-0.841077851045993	hSp
h7hS	1.93946449359721	0.266886661987173	h7hS
S7pp	0.342507645259939	-2.23456360568039	S7pp
SpBh	0.495654464050566	-1.70136507313046	Sph
Control	1.42732716385411	-0.175455643129506	Control
Shpp	1.03883089770355	-0.633810872732851	Shpp
SBph	0.41987431264729	-1.94074226842078	Sph
77Bp	0.570168993387215	-1.49931021155678	77p
pBBp	1.01280227596017	-0.670419150346049	pp
7B7h	0.33094262295082	-2.28411868510887	77h
7hBp	1.20152091254753	-0.423909943355111	7hp
hhBB	5.89147286821705	1.86985665066778	hh
BBpp	0.586872586872587	-1.45765247648288	pp
hphh	0.571958456973294	-1.49478943350674	hphh
C14orf28	0.422735346358792	-1.9309450510122	C14orf28
7SBh	0.437401505865873	-1.8817416098883	7Sh
S7h7	0.281280310378274	-2.51869122959309	S7h7
hBS7	0.751295336787565	-1.10131964949306	hS7
BBpp	0.761300555114988	-1.08223366695961	pp
7hSh	0.425784144233144	-1.92057757082727	7hSh
pSpp	0.0753498385360603	-4.4190234716776	pSpp
pSSh	0.567554479418886	-1.50594091412447	pSSh
SSBh	0.556701030927835	-1.53379704226357	SSh
SSh7	0.434077079107505	-1.89274855221668	SSh7
7pcx1	0.206005812076203	-2.9680147561497	7pcx1
Sh77	0.314063848144953	-2.35964191304769	Sh77
p7hB	1.5366854797332	-0.068949789821653	p7h
7mera1x1	1.18198198198198	-0.447563658859296	7mera1x1
p77B	0.212429378531073	-2.92371649553263	p77
hpS7	0.308566788469346	-2.38511700640792	hpS7
hSS7	0.756476683937824	-1.09140418062797	hSS7
ShBS	1.13864436619718	-0.501454483059852	ShS
phBh	0.483981204613413	-1.73574877553141	phh
Bph7	0.276972624798712	-2.54095640575829	ph7
ppB7	0.216642754662841	-2.89538180878326	pp7
BSpp	0.497441951987407	-1.69617161411616	Spp
ppBB	0.419146183699871	-1.94324630328013	pp
pSh7	0.167982770997846	-3.26238652525776	pSh7
hpS7	0.430827542640556	-1.90358931335292	hpS7
BShB	1.7527959892017	0.120886385988264	Sh
h7pS	0.433868974042027	-1.89344037436533	h7pS
pBhS	0.37949154949581	-2.08663203701019	phS
Shhp	3.91160520607375	1.27898906580548	Shhp
BBS7	0.465853658536585	-1.79082297370961	S7
Bp7B	0.370411880078453	-2.12156942678124	p7
SBhS	0.443682104059463	-1.86117343397444	ShS
7pBB	0.33536	-2.26498917513927	7p
hhBp	2.96067945894936	0.87715660184641	hhp
7pcx4	0.317443687794657	-2.3441991061709	7pcx4
hShh	0.387096774193548	-2.05800551190563	hShh
Control	0.935064935064935	-0.7856332414925	Control
pBBp	0.625967325881341	-1.36461244351443	pp
hpS7	0.260162601626016	-2.63128620757915	hpS7
BhS7	1.24376731301939	-0.374055094385935	hS7
BSSp	1.49450549450549	-0.109103501188268	SSp
hBhp	5.23564356435644	1.69959518162862	hhp
Bhph	0.252631578947368	-2.6736648098497	hph
SBBS	1.38755980861244	-0.21622174430586	SS
Bp7p	0.372333548804137	-2.11410418224663	p7p
S7hp	0.667179684494036	-1.27262443749028	S7hp
ShhB	5.26449968132569	1.7075247270988	Shh
B7p7	0.519480519480519	-1.63363014804745	7p7
B7Bh	0.394422310756972	-2.03095863611107	7h
hBhS	1.88679245283019	0.227164032971614	hhS
h7p7	0.542743538767396	-1.57042915112559	h7p7
hp7B	0.458362989323843	-1.81420923923358	hp7
SphS	0.314009661835749	-2.35989084671078	SphS
pSBB	0.337037037037037	-2.25779265909205	pS
SBB7	0.687425149700599	-1.22949716292564	S7
BSB7	0.950261780104712	-0.762374792279909	S7
S7Bh	0.40607210626186	-1.98896386747598	S7h
7BBp	0.608272506082725	-1.40598200125951	7p
hBBp	0.533772652388797	-1.59447440561097	hp
B7ph	0.476683937823834	-1.75766678345098	7ph
77Sp	0.131944444444444	-3.61076919023864	77Sp
7Bh7	0.235772357723577	-2.77330521245158	7h7
77h7	0.0769230769230769	-4.389211420381	77h7
BSB7	0.524390243902439	-1.6200589521559	S7
ShBp	2.40658644711843	0.578216545118162	Shp
7SpS	0.89920424403183	-0.842050952372231	7SpS
Sp7S	0.285714285714286	-2.49612662429752	Sp7S
ppp7	0.648175182481752	-1.31431601373769	ppp7
hph7	0.504065040650406	-1.67708989719228	hph7
hphB	4.95699765441751	1.62069487390522	hph
Bh77	0.180385288966725	-3.15961811041954	h77
7hpS	0.537297297297297	-1.5849792160813	7hpS
php7	0.463046141282156	-1.79954383586166	php7
7pSp	0.699029126213592	-1.20534722798082	7pSp
77hB	0.409371146732429	-1.97729037511026	77h
hh7p	1.95048762190548	0.275063140586933	hh7p
h7pS	0.792626728110599	-1.02405817998229	h7pS
ppSB	0.470175438596491	-1.77750062083424	ppS
BSBS	1.11508817766166	-0.531613903802637	SS
BBhh	0.310685608400247	-2.37524438273695	hh
pppp	0.33535497681056	-2.26501078470741	pppp
Bhh7	0.491997628927089	-1.71204843429319	hh7
BBBp	1.13602638087387	-0.50477536465613	p
SpBB	1.50224887556222	-0.101647860229288	Sp
pphS	0.119869706840391	-3.74923268644044	pphS
hSBB	0.814583333333333	-0.984637500541077	hS
BShh	0.5732	-1.49166118752721	Shh
B7Sp	0.714020427112349	-1.17473444882229	7Sp
Shhh	0.317180616740088	-2.34539518808851	Shhh
BpSh	1.53537197626654	-0.0701834809749893	pSh
BpBh	0.531742650191734	-1.59997160990083	ph
S7Sh	0.419538053767512	-1.94189812235782	S7Sh
B77S	0.219653179190751	-2.87547241643305	77S
hhSS	1.53731343283582	-0.0683603655144652	hhSS
pS7p	0.419847328244275	-1.9408349902527	pS7p
Shp7	0.54133064516129	-1.57418973464137	Shp7
7SpB	0.807142857142857	-0.99787575676969	7Sp
7Sp7	0.678526048284625	-1.24829559605984	7Sp7
hh7S	0.831942789034565	-0.954215476470082	hh7S
7ppp	0.39922480620155	-2.01349843047995	7ppp
SppB	0.764452938365982	-1.0762721087209	Spp
7hSp	0.478350515463918	-1.75263164418683	7hSp
p77p	0.348096348096348	-2.21121311840301	p77p
B7Sh	0.490719782707107	-1.71580036424131	7Sh
h7Sp	0.216288384512684	-2.89774360781404	h7Sp
77BB	0.197368421052632	-3.02980862007498	77
ppSS	0.470217238962859	-1.77737236551549	ppSS
Bh7S	0.50561797752809	-1.67265203687663	h7S
pBSS	1.02576112412178	-0.652076902259228	pSS
pSSh	0.376093294460641	-2.09960921298947	pSSh
phpS	0.367929168716183	-2.13127174219701	phpS
h7Sp	0.459016393442623	-1.81215411774519	h7Sp
hShh	0.278820375335121	-2.53136380435406	hShh
pS7h	0.218675559790376	-2.88190781011826	pS7h
7pcx4	0.255578093306288	-2.65693561511791	7pcx4
SpBB	1.23319027181688	-0.386376288526249	Sp
